date,time,open,high,low,close,volume,turnover,hold
2022-01-04,09:01:00,70510.0,70550.0,70200.0,70230.0,2389.0,839934050.0,133232.0
2022-01-04,09:02:00,70240.0,70280.0,70100.0,70140.0,1281.0,449674300.0,132783.0
2022-01-04,09:03:00,70120.0,70190.0,70060.0,70060.0,1169.0,409834250.0,132369.0
2022-01-04,09:04:00,70070.0,70120.0,70030.0,70080.0,768.0,269092550.0,132097.0
2022-01-04,09:05:00,70080.0,70090.0,70000.0,70000.0,830.0,290709150.0,131936.0
2022-01-04,09:06:00,70010.0,70020.0,69910.0,69930.0,1105.0,386563300.0,131699.0
2022-01-04,09:07:00,69920.0,70010.0,69910.0,69950.0,670.0,234384550.0,131575.0
2022-01-04,09:08:00,69960.0,69980.0,69900.0,69920.0,760.0,265786450.0,131279.0
2022-01-04,09:09:00,69910.0,69970.0,69910.0,69970.0,424.0,148271500.0,131116.0
2022-01-04,09:10:00,69950.0,69990.0,69880.0,69910.0,753.0,263280050.0,130988.0
2022-01-04,09:11:00,69900.0,69970.0,69900.0,69920.0,608.0,212586500.0,130723.0
2022-01-04,09:12:00,69920.0,69940.0,69860.0,69890.0,718.0,250943250.0,130507.0
2022-01-04,09:13:00,69880.0,69960.0,69870.0,69950.0,605.0,211526950.0,130379.0
2022-01-04,09:14:00,69950.0,69950.0,69850.0,69880.0,571.0,199537900.0,130340.0
2022-01-04,09:15:00,69860.0,69890.0,69850.0,69870.0,387.0,135204000.0,130333.0
2022-01-04,09:16:00,69870.0,69900.0,69830.0,69880.0,561.0,195978700.0,130214.0
2022-01-04,09:17:00,69890.0,69920.0,69870.0,69880.0,424.0,148187300.0,130139.0
2022-01-04,09:18:00,69880.0,69900.0,69850.0,69860.0,353.0,123341850.0,130090.0
2022-01-04,09:19:00,69850.0,69870.0,69780.0,69780.0,1029.0,359270850.0,129890.0
2022-01-04,09:20:00,69790.0,69800.0,69700.0,69800.0,1536.0,535675700.0,129509.0
2022-01-04,09:21:00,69800.0,69830.0,69760.0,69780.0,673.0,234870350.0,129451.0
2022-01-04,09:22:00,69760.0,69790.0,69740.0,69770.0,656.0,228844450.0,129394.0
2022-01-04,09:23:00,69770.0,69800.0,69750.0,69770.0,378.0,131882850.0,129296.0
2022-01-04,09:24:00,69770.0,69800.0,69750.0,69770.0,294.0,102566600.0,129265.0
2022-01-04,09:25:00,69770.0,69840.0,69750.0,69810.0,322.0,112382650.0,129239.0
2022-01-04,09:26:00,69800.0,69810.0,69760.0,69780.0,518.0,180738850.0,129187.0
2022-01-04,09:27:00,69780.0,69800.0,69760.0,69770.0,241.0,84082700.0,129152.0
2022-01-04,09:28:00,69760.0,69790.0,69730.0,69780.0,439.0,153115750.0,129246.0
2022-01-04,09:29:00,69780.0,69780.0,69750.0,69760.0,417.0,145464750.0,129208.0
2022-01-04,09:30:00,69760.0,69780.0,69730.0,69730.0,412.0,143679700.0,129130.0
2022-01-04,09:31:00,69730.0,69740.0,69700.0,69730.0,479.0,166972550.0,129050.0
2022-01-04,09:32:00,69720.0,69720.0,69620.0,69650.0,1241.0,432236300.0,128904.0
2022-01-04,09:33:00,69650.0,69700.0,69640.0,69690.0,381.0,132709800.0,128944.0
2022-01-04,09:34:00,69690.0,69710.0,69660.0,69690.0,315.0,109757150.0,128926.0
2022-01-04,09:35:00,69690.0,69750.0,69680.0,69720.0,302.0,105287500.0,128927.0
2022-01-04,09:36:00,69730.0,69730.0,69660.0,69670.0,329.0,114650450.0,128853.0
2022-01-04,09:37:00,69670.0,69670.0,69630.0,69630.0,523.0,182138750.0,128855.0
2022-01-04,09:38:00,69640.0,69660.0,69630.0,69660.0,248.0,86352800.0,128793.0
