code,target,sigprice,gentime,usertag
SHFE.au.HOT,-1,386.68,20220218133059500,entershort
SHFE.au.HOT,0,386.72,20220218133159500,exitshort
SHFE.au.HOT,-1,386.72,20220218133259500,entershort
SHFE.au.HOT,0,386.74,20220218133359500,exitshort
SHFE.au.HOT,1,386.82,20220218133459500,enterlong
SHFE.au.HOT,0,386.82,20220218133559500,exitlong
