date,time,open,high,low,close,volume,turnover,hold
2022-01-04,09:31:00,4960.0,4966.0,4953.6,4954.4,1994.0,2967682860.0,73701.0
2022-01-04,09:32:00,4954.2,4955.4,4946.2,4949.0,1085.0,1611391080.0,73197.0
2022-01-04,09:33:00,4948.2,4948.2,4940.6,4941.2,760.0,1127247840.0,72804.0
2022-01-04,09:34:00,4941.2,4941.2,4929.2,4932.6,1046.0,1548739680.0,72333.0
2022-01-04,09:35:00,4933.2,4937.0,4932.4,4934.2,632.0,935695080.0,72051.0
2022-01-04,09:36:00,4934.0,4937.8,4932.4,4937.6,624.0,923932320.0,71840.0
2022-01-04,09:37:00,4938.0,4941.8,4936.4,4938.8,620.0,918867480.0,71539.0
2022-01-04,09:38:00,4939.0,4939.0,4935.0,4935.6,382.0,565774920.0,71324.0
2022-01-04,09:39:00,4935.4,4935.8,4927.0,4927.0,916.0,1354832040.0,70939.0
2022-01-04,09:40:00,4926.2,4928.0,4922.8,4925.0,889.0,1313594160.0,70599.0
2022-01-04,09:41:00,4924.2,4929.0,4923.6,4928.0,587.0,867545100.0,70388.0
2022-01-04,09:42:00,4927.6,4935.6,4926.0,4932.8,559.0,826991220.0,70142.0
2022-01-04,09:43:00,4932.4,4932.4,4926.4,4926.4,426.0,629994600.0,70053.0
2022-01-04,09:44:00,4926.4,4932.6,4924.8,4932.6,504.0,745149780.0,69948.0
2022-01-04,09:45:00,4932.6,4934.2,4928.2,4928.8,366.0,541561980.0,69856.0
2022-01-04,09:46:00,4929.4,4931.6,4926.4,4929.2,390.0,576706200.0,69780.0
2022-01-04,09:47:00,4929.2,4932.4,4927.4,4928.2,253.0,374164380.0,69718.0
2022-01-04,09:48:00,4928.2,4928.6,4925.8,4928.0,210.0,310398360.0,69657.0
2022-01-04,09:49:00,4928.0,4929.0,4923.8,4927.0,291.0,430063740.0,69569.0
2022-01-04,09:50:00,4926.4,4926.4,4921.6,4922.0,319.0,471154200.0,69502.0
2022-01-04,09:51:00,4921.8,4922.4,4918.8,4919.6,598.0,882736200.0,69515.0
2022-01-04,09:52:00,4919.0,4919.0,4912.2,4913.8,706.0,1041296280.0,69390.0
2022-01-04,09:53:00,4914.4,4919.2,4913.2,4917.8,461.0,679893060.0,69284.0
2022-01-04,09:54:00,4918.2,4918.2,4914.0,4917.2,357.0,526519860.0,69198.0
2022-01-04,09:55:00,4916.6,4920.8,4915.4,4918.8,303.0,447065940.0,69142.0
2022-01-04,09:56:00,4918.0,4919.0,4915.8,4916.2,224.0,330438000.0,69108.0
2022-01-04,09:57:00,4916.2,4916.8,4912.2,4912.2,359.0,529255860.0,69037.0
2022-01-04,09:58:00,4912.2,4914.2,4911.0,4913.4,384.0,565902240.0,68995.0
2022-01-04,09:59:00,4913.4,4913.4,4910.2,4911.6,388.0,571774860.0,68978.0
2022-01-04,10:00:00,4911.6,4911.6,4907.0,4907.8,567.0,835015860.0,68969.0
2022-01-04,10:01:00,4908.0,4912.2,4906.4,4911.6,504.0,742140720.0,68956.0
2022-01-04,10:02:00,4911.4,4913.8,4907.8,4909.0,269.0,396334500.0,68942.0
2022-01-04,10:03:00,4909.4,4912.2,4908.2,4910.8,268.0,394779360.0,68909.0
2022-01-04,10:04:00,4910.6,4910.6,4907.0,4908.8,309.0,455026080.0,68906.0
2022-01-04,10:05:00,4908.2,4908.8,4906.8,4906.8,187.0,275328540.0,68892.0
2022-01-04,10:06:00,4906.8,4906.8,4898.8,4900.0,794.0,1167711600.0,69052.0
